id,produit,quantite,prixUnitaire,montant,devise,clientId,clientPrenom,clientNom,clientNumero,date
7ac95ccc-f37f-406c-9340-fa9e2c527f2f,2,819,0.945,774,USD,7a900eab-e69e-47fd-80dc-c74a512f8a9f,Benton,Gleichner,+18194980075,Tue Jun 25 2024 03:55:55 GMT+0100 (heure normale d’Afrique de l’Ouest)
14006a34-a8c3-4dc8-8869-0f9fab9d7fc8,3,287,0.945,272,USD,d51125f3-e1b2-4620-9929-24ce10321e3c,Gregoria,Beahan,+18277602996,Tue Jul 09 2024 02:16:34 GMT+0100 (heure normale d’Afrique de l’Ouest)
d96a2d94-5ae6-4dd1-be01-8d154523244a,2,994,0.945,940,USD,c1daf5ae-9578-4bee-aeab-c2d458913189,Richmond,Stark-Wyman,+16829243591,Sun Jul 28 2024 01:16:04 GMT+0100 (heure normale d’Afrique de l’Ouest)
6b5cf1bc-5e6c-455e-9f8b-f49c1e371640,4,893,0.945,844,USD,ce4e10ef-5e53-482d-bb2c-2136071f2fa7,Stanley,D'Amore,+18695727155,Thu Jun 13 2024 20:08:50 GMT+0100 (heure normale d’Afrique de l’Ouest)
c25b1dab-c694-468a-bb2a-c52ae3cb9206,3,802,0.945,758,USD,d51125f3-e1b2-4620-9929-24ce10321e3c,Gregoria,Beahan,+18277602996,Sat Jun 22 2024 00:55:12 GMT+0100 (heure normale d’Afrique de l’Ouest)
596db53f-5873-4786-a99f-37ab52f57b63,4,915,0.945,865,USD,825f8132-8c99-42bf-b2a3-15ef7a36c4dc,Mariano,Jacobi,+13538080561,Sun Jun 16 2024 13:43:31 GMT+0100 (heure normale d’Afrique de l’Ouest)
10c4eb30-7b82-449c-830b-d6f415c1b4a9,1,977,0.945,924,USD,ae12eeb6-ee5c-4a73-bede-2761b02da019,Anjali,Volkman,+15608780315,Tue Jul 23 2024 22:13:11 GMT+0100 (heure normale d’Afrique de l’Ouest)
718978c6-1378-4732-a744-ea1c552442b6,3,49,0.945,47,USD,064b5d31-93b1-452a-8fe6-5dd0ef60149b,Tavares,Schimmel,+16694498881,Tue Jun 11 2024 19:21:30 GMT+0100 (heure normale d’Afrique de l’Ouest)
304c25f6-c00f-4fc0-aa70-52ceddbec47d,4,998,0.945,944,USD,ccb9dada-264d-4fe5-b0aa-11e0c55120d2,Elmo,Stoltenberg,+15709308909,Fri Jul 12 2024 02:32:28 GMT+0100 (heure normale d’Afrique de l’Ouest)
388357a0-5637-40ff-a314-a3598fb882db,1,28,0.945,27,USD,66515fc0-f454-436c-898f-514c0fe036b9,Jennings,Rogahn,+18826174820,Fri May 10 2024 14:50:54 GMT+0100 (heure normale d’Afrique de l’Ouest)
89d21bc2-4bb0-42b7-ba56-45a8215acf05,2,868,0.945,821,USD,3f7d5b10-921c-460e-9976-32264684e62d,Antone,Leannon,+15295750788,Fri Jul 26 2024 07:39:31 GMT+0100 (heure normale d’Afrique de l’Ouest)
d0fc0de6-9fc3-42e7-a2d3-bfd61f616a0b,2,240,0.945,227,USD,275cebee-cd58-4256-a1d5-f6d8cfc5b35b,Veda,Parisian,+17519347838,Sat Jul 20 2024 04:12:25 GMT+0100 (heure normale d’Afrique de l’Ouest)
750727cd-0a73-4ff8-88a0-a7558b104ef6,3,289,0.945,274,USD,edbb35b8-8bc9-48d1-b10e-ce9614897fc8,Mossie,Prohaska,+14228251267,Wed May 22 2024 14:03:40 GMT+0100 (heure normale d’Afrique de l’Ouest)
